종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","4805","-45","-0.93","217439506995"
"006840","AK홀딩스","KOSPI","기타금융","14590","-10","-0.07","193281914990"
"027410","BGF","KOSPI","기타금융","3630","35","0.97","347451951330"
"282330","BGF리테일","KOSPI","유통업","116700","-4000","-3.31","2017031830200"
"138930","BNK금융지주","KOSPI","기타금융","7510","-140","-1.83","2418884169380"
"001460","BYC","KOSPI","섬유의복","489500","0","0.00","305749042500"
"001465","BYC우","KOSPI","섬유의복","198900","0","0.00","42840076500"
"001040","CJ","KOSPI","기타금융","115500","-4800","-3.99","3369943269000"
"079160","CJ CGV","KOSPI","서비스업","5670","30","0.53","694189394640"
"00104K","CJ4우(전환)","KOSPI","기타금융","78000","-2100","-2.62","329667936000"
"000120","CJ대한통운","KOSPI","운수창고업","118200","-5100","-4.14","2696419060800"
"011150","CJ씨푸드","KOSPI","음식료품","2750","95","3.58","98809625750"
"011155","CJ씨푸드1우","KOSPI","음식료품","20550","50","0.24","4110000000"
"001045","CJ우","KOSPI","기타금융","57600","-1300","-2.21","130188844800"
"097950","CJ제일제당","KOSPI","음식료품","314000","-1000","-0.32","4727014404000"
"097955","CJ제일제당 우","KOSPI","음식료품","139400","-100","-0.07","185044160200"
"000480","CR홀딩스","KOSPI","비금속광물","5760","-110","-1.87","270089222400"
"000590","CS홀딩스","KOSPI","기타금융","65200","-500","-0.76","75272226400"
"012030","DB","KOSPI","서비스업","1507","-3","-0.20","303169117031"
"016610","DB금융투자","KOSPI","증권","4085","-50","-1.21","173393499065"
"005830","DB손해보험","KOSPI","보험","88100","-7400","-7.75","6237480000000"
"000990","DB하이텍","KOSPI","전기전자","42000","-1800","-4.11","1864740696000"
"139130","DGB금융지주","KOSPI","기타금융","8050","-90","-1.11","1361623955650"
"001530","DI동일","KOSPI","유통업","27000","0","0.00","667943361000"
"000210","DL","KOSPI","화학","50600","-1300","-2.50","1060367730400"
"000215","DL우","KOSPI","화학","24600","-300","-1.20","41478429000"
"375500","DL이앤씨","KOSPI","건설업","33350","-1900","-5.39","1290432327050"
"37550L","DL이앤씨2우(전환)","KOSPI","건설업","23650","-350","-1.46","49947641150"
"37550K","DL이앤씨우","KOSPI","건설업","17650","-220","-1.23","37310070250"
"007340","DN오토모티브","KOSPI","전기전자","80200","0","0.00","801519201000"
"004840","DRB동일","KOSPI","화학","6120","260","4.44","121971600000"
"155660","DSR","KOSPI","철강금속","4180","0","0.00","66880000000"
"069730","DSR제강","KOSPI","철강금속","4125","-10","-0.24","59400000000"
"017860","DS단석","KOSPI","화학","128400","-2100","-1.61","752604273600"
"017940","E1","KOSPI","유통업","65200","-1600","-2.40","447272000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","4390","45","1.04","935460710000"
