종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"136540","윈스","KOSDAQ","소프트웨어","12300","-190","-1.52","167823192600"
"320000","윈텍","KOSDAQ","기계·장비","3060","30","0.99","56607392880"
"097800","윈팩","KOSDAQ","반도체","1213","-73","-5.68","72275993648"
"192390","윈하이텍","KOSDAQ","금속","3340","15","0.45","36489469940"
"313760","윌링스","KOSDAQ","일반전기전자","6800","860","14.48","39364390800"
"335870","윙스풋","KOSDAQ","유통","1617","28","1.76","26973859374"
"900340","윙입푸드","KOSDAQ","금융","1587","-108","-6.37","76133830236"
"036200","유니셈","KOSDAQ","반도체","9380","170","1.85","287630411740"
"018000","유니슨","KOSDAQ","기계·장비","980","-15","-1.51","123811098880"
"203450","유니온커뮤니티","KOSDAQ","일반전기전자","3285","15","0.46","46249537995"
"011320","유니크","KOSDAQ","운송장비·부품","4560","100","2.24","88102369200"
"086390","유니테스트","KOSDAQ","반도체","15070","-100","-0.66","318491278820"
"241690","유니테크노","KOSDAQ","운송장비·부품","3765","45","1.21","92132208090"
"142210","유니트론텍","KOSDAQ","유통","5770","30","0.52","111049950840"
"048430","유라테크","KOSDAQ","일반전기전자","7850","-50","-0.63","90432000000"
"206650","유바이오로직스","KOSDAQ","제약","12070","70","0.58","440009520490"
"089850","유비벨록스","KOSDAQ","소프트웨어","9290","-210","-2.21","69273058860"
"084440","유비온","KOSDAQ","소프트웨어","1202","46","3.98","23694785600"
"032620","유비케어","KOSDAQ","소프트웨어","4755","10","0.21","248197395945"
"264450","유비쿼스","KOSDAQ","통신장비","17100","80","0.47","175201572600"
"078070","유비쿼스홀딩스","KOSDAQ","금융","12580","-10","-0.08","235203580240"
"024800","유성티엔에스","KOSDAQ","운송","2125","-5","-0.23","78735100500"
"054930","유신","KOSDAQ","기타서비스","27600","250","0.91","82800000000"
"069330","유아이디","KOSDAQ","IT부품","1318","12","0.92","18703857938"
"049520","유아이엘","KOSDAQ","IT부품","5240","-90","-1.69","114153064640"
"435380","유안타제10호스팩","KOSDAQ","금융","2145","0","0.00","12290850000"
"444920","유안타제11호스팩","KOSDAQ","금융","2100","-5","-0.24","11004000000"
"446150","유안타제12호스팩","KOSDAQ","금융","2115","15","0.71","10088550000"
"449020","유안타제13호스팩","KOSDAQ","금융","2030","5","0.25","19751900000"
"450940","유안타제14호스팩","KOSDAQ","금융","2100","0","0.00","9534000000"
"473050","유안타제15호스팩","KOSDAQ","금융","2030","5","0.25","14230300000"
"430700","유안타제9호스팩","KOSDAQ","금융","2390","5","0.21","12523600000"
"263770","유에스티","KOSDAQ","금속","2620","-20","-0.76","62094450640"
"388720","유일로보틱스","KOSDAQ","기계·장비","29400","-1450","-4.70","262772672400"
"340930","유일에너테크","KOSDAQ","기계·장비","15040","900","6.36","172480976000"
"023410","유진기업","KOSDAQ","비금속","3480","-45","-1.28","269041803240"
"056080","유진로봇","KOSDAQ","기계·장비","8320","-220","-2.58","312101104640"
"468760","유진스팩10호","KOSDAQ","금융","2170","0","0.00","9200800000"
"388800","유진스팩7호","KOSDAQ","금융","2440","0","0.00","12224400000"
"413630","유진스팩8호","KOSDAQ","금융","4060","100","2.53","24035200000"
"442130","유진스팩9호","KOSDAQ","금융","2380","10","0.42","8234800000"
"084370","유진테크","KOSDAQ","반도체","48300","-800","-1.63","1106844828600"
"240600","유진테크놀로지","KOSDAQ","금속","10810","-430","-3.83","74893312310"
"221800","유투바이오","KOSDAQ","기타서비스","4065","325","8.69","45882451740"
"179900","유티아이","KOSDAQ","IT부품","29700","950","3.30","483720781500"
"263050","유틸렉스","KOSDAQ","제약","2345","-30","-1.26","86208894975"
"191410","육일씨엔에쓰","KOSDAQ","IT부품","2165","35","1.64","24177382030"
"372170","윤성에프앤씨","KOSDAQ","기계·장비","67700","-2100","-3.01","540181549600"
"146060","율촌","KOSDAQ","금속","1711","-9","-0.52","41090683045"
"072770","율호","KOSDAQ","소프트웨어","2480","25","1.02","171424534080"
